,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time
adder_n10,75,180,0.03439285200000031,72,149,0.05144148999999976,75,172,0.13052220599999975
qft_n15,315,318,0.247602412,477,381,5.285753084,297,308,8.752881339999998
dnn_n8,51,285,0.08038194099999885,66,213,0.9430661370000024,54,227,4.007904499000002
cc_n12,36,55,0.017419930999999167,30,44,0.021509433000002076,30,54,0.030921300999999346
multiplier_n15,411,518,0.21331497999999982,342,413,1.1955162189999982,375,527,7.597758890999998
qf21_n15,240,400,0.10380471799999924,207,270,0.12555209699999637,192,396,2.363619124000003
sat_n11,471,790,0.28833124500000196,363,635,0.2974305170000022,414,779,6.072806133999997
seca_n11,102,137,0.05683429400000506,84,123,1.3593578919999985,87,137,1.1554192480000012
bv_n14,42,53,0.015798976999995773,39,26,0.014995409000000848,42,53,0.012276549999995723
ising_n10,27,87,0.03707871799999651,18,82,0.05121451199999427,18,72,0.106852865999997
qaoa_n6,42,176,0.03174141999999591,63,170,0.3542184329999998,36,163,0.43067938099999736
qpe_n9,72,139,0.10444142600000106,63,135,0.0412671890000027,63,125,0.44833479200000426
simon_n6,15,44,0.00881432699999607,12,40,0.015565554999994902,12,46,0.02667647000000528
