,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time
adder_n10,60,172,0.03773282,60,153,0.05548970299999967,60,155,0.12328368800000034
qft_n15,294,269,0.2005525610000003,516,389,4.997601822,291,265,10.625509955
dnn_n8,51,352,0.09557240099999831,186,353,1.2743089230000066,51,353,5.251495621999993
cc_n12,36,54,0.018106549999998833,36,49,0.023264083000000824,36,54,0.014484815000002982
multiplier_n15,423,559,0.2385599700000114,408,388,1.4285275280000036,372,502,7.1998085660000015
qf21_n15,222,364,0.10396734599999036,207,239,0.13100371000001587,201,389,2.5044890560000113
sat_n11,447,780,0.6497535000000028,417,626,0.670782317000004,393,791,6.964293524999988
seca_n11,93,139,0.05892442200001824,84,122,0.6951528170000074,90,139,1.1884848650000208
bv_n14,42,51,0.01549112499998273,42,29,0.016294388999995135,42,51,0.028535718000000543
ising_n10,0,71,0.02823847700000215,0,71,0.043796270000001414,0,71,0.022288664999990715
qaoa_n6,36,148,0.03170290799999975,51,156,0.15386672099998577,36,148,0.46237329500002033
qpe_n9,60,136,0.13039498800000615,60,121,0.043806794999994736,60,136,0.25800822599998696
simon_n6,24,53,0.012251359000003958,21,40,0.01615945099999294,21,55,0.029502441999994744
