,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time
adder_n10,45,143,0.03130246300000028,42,133,0.09543633399999996,45,131,0.7413668580000001
qft_n15,192,317,0.18923401600000034,240,239,35.317027366,186,282,10.335014990000005
dnn_n8,15,187,0.08116748200001211,15,188,0.5653873509999983,15,187,0.48438605800001255
cc_n12,18,46,0.013415487000003168,18,49,0.03394322400001215,18,46,0.022856938999979093
multiplier_n15,276,466,0.18943125799995642,261,358,2.502360811000017,267,474,8.068760276000035
qf21_n15,117,314,0.07308098400000063,96,267,0.2351608600000077,90,305,1.9968978940000284
sat_n11,303,669,0.202184955000007,264,585,1.3554867600000193,276,642,8.489227218999986
seca_n11,66,134,0.051149285999997574,60,112,2.8967424150000056,69,136,2.1900232830000164
bv_n14,18,33,0.011723695000000589,18,25,0.021686111000008168,18,33,0.01008041500000445
ising_n10,0,71,0.03265909899999997,0,71,0.05434593200004656,0,71,0.02248430100001997
qaoa_n6,24,150,0.028604696999991575,36,146,0.21029252999994696,24,147,0.11437258600000177
qpe_n9,27,119,0.02005899400000999,27,113,0.15062083999998777,27,117,0.028229599999974653
simon_n6,21,49,0.01161630699999705,18,42,0.06351381000001766,18,41,0.35452038900001526
