,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,70.40000000000002,47.60000000000001,192.0,179.79999999999998,0.6465332761999989,7.3052329152
qft_n20,-1.0,N/A,-1.0,N/A,-1.0,N/A
ising_n26,5.000000000000007,26.000000000000007,14.8,20.0,0.4667430413999938,4.886738737600007
bv_n19,25.800000000000004,12.0,34.4,31.0,0.15275678859999858,1.0795157943999925
dnn_n16,4.60000000000008,5.000000000000057,102.0,103.0,2.0696417535999956,160.33417199000002
multiplier_n25,529.2,345.19999999999993,1053.6,890.2,6.3919593639998995,704.9480929727998
wstate_n27,31.799999999999994,13.0,69.0,59.0,0.371852848799972,2.7982384649998493
ghz_state_n23,9.600000000000003,10.0,29.6,32.0,0.14087523340003827,1.1140370651999547
cat_state_n22,10.999999999999996,5.0,30.0,27.0,0.12204633319997811,0.5132173976000558
square_root_n18,709.4000000000001,556.0,1684.8,1535.6,7.779201150199879,1760.4801130614
cc_n18,18.999999999999996,14.999999999999996,57.8,68.0,0.18205104040025616,2.745482039400304
