,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,94.19999999999999,81.8,215.0,215.60000000000002,0.6708641182000001,5.4302829778
qft_n20,247.60000000000002,236.79999999999995,274.4,207.4,3.4070480661999816,121.47550478420001
ising_n26,45.99999999999999,27.999999999999986,27.0,17.0,1.2655125232000046,4.958274240799984
bv_n19,41.400000000000006,18.000000000000004,45.6,39.0,0.3830727442000125,0.826851029400018
dnn_n16,42.80000000000001,40.99999999999994,159.60000000000002,105.0,3.72715544040002,185.8501633762
multiplier_n25,1040.1999999999998,742.5999999999999,1229.6000000000001,1101.6,7.18956521039995,623.5708139273999
wstate_n27,77.6,239.0,78.0,57.0,0.537469048999992,5.841803385799904
ghz_state_n23,21.4,28.000000000000004,35.0,52.0,0.1505773037999461,0.6921011614002055
cat_state_n22,16.999999999999996,23.0,32.8,46.0,0.12632526219986176,0.5793754133997936
square_root_n18,1195.2,832.2,1959.2,1837.8,6.6910353352002865,1550.0769540302
cc_n18,45.6,18.0,80.0,75.0,0.2892311615996732,0.988274441800604
