,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,156.79999999999998,89.00000000000001,237.60000000000002,216.0,0.8100333291999998,4.4553361112
qft_n20,-1.0,N/A,-1.0,N/A,-1.0,N/A
ising_n26,-1.0,N/A,-1.0,N/A,-1.0,N/A
bv_n19,39.0,27.0,42.800000000000004,47.0,0.1860224365999983,0.48994417019999903
dnn_n16,-1.0,N/A,-1.0,N/A,-1.0,N/A
multiplier_n25,1006.1999999999999,627.0,1206.8,1043.0,5.856651427400055,537.5320205521999
wstate_n27,3.7999999999999936,51.999999999999986,56.0,55.0,0.3070107344000462,1.931408833400019
ghz_state_n23,8.6,5.0,28.0,29.0,0.12186717799986582,0.2679096474000289
cat_state_n22,7.1999999999999975,5.0,26.599999999999998,28.0,0.11216917660003672,0.6410846124001182
square_root_n18,-1.0,N/A,-1.0,N/A,-1.0,N/A
cc_n18,31.799999999999997,21.0,75.4,78.0,0.2924523665999004,0.9248897334000503
