,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
adder_n10,27.200000000000003,34.999999999999986,119.8,131.0,0.22377838300000014,1.2306384156
cc_n12,19.799999999999997,12.999999999999998,47.8,52.0,0.15438638100000013,0.5346015936000004
multiplier_n15,218.79999999999995,145.0,374.79999999999995,337.0,1.6366618864000018,26.364288080199998
qf21_n15,121.6,80.99999999999997,298.0,295.0,0.8187251830000037,7.708201651200005
sat_n11,229.60000000000002,159.0,550.0,513.4,1.5610247452000066,46.591102585600005
qft_n15,-1.0,N/A,-1.0,N/A,-1.0,N/A
dnn_n8,20.200000000000017,15.000000000000028,158.79999999999998,103.0,1.0999008730000128,77.21237396199999
seca_n11,45.99999999999999,33.6,101.80000000000001,93.80000000000001,0.6094752320000225,3.9665549296000107
bv_n14,22.400000000000002,11.0,29.8,27.0,0.1904851641999812,0.5310284961999742
ising_n10,0.0,0.0,42.0,42.0,0.503905388999965,9.690786407399969
qaoa_n6,15.799999999999997,16.999999999999986,93.60000000000001,81.8,0.2619114441999727,2.3282475076000084
qpe_n9,43.39999999999999,19.000000000000007,110.0,99.0,0.21687348980001386,0.9625934330000518
simon_n6,5.000000000000002,5.0,33.6,34.0,0.06947916420001547,0.186965389199986
