,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
adder_n10,42.4,28.999999999999993,126.0,125.0,0.2302257700000002,0.8803825653999997
cc_n12,21.4,11.0,50.400000000000006,50.0,0.11839831739999944,0.29065662940000014
multiplier_n15,215.4,138.0,373.8,333.0,1.3922398559999998,27.0077332344
qf21_n15,119.39999999999999,75.00000000000003,296.4,288.0,0.7525179610000009,6.720977192200014
sat_n11,224.79999999999998,164.0,540.2,523.0,1.5264451317999999,43.03825744380001
qft_n15,-1.0,N/A,-1.0,N/A,-1.0,N/A
dnn_n8,16.80000000000001,35.00000000000003,135.60000000000002,109.0,1.1692154938000385,68.96811308500001
seca_n11,51.19999999999999,28.000000000000007,105.0,92.0,0.3965451474000019,2.4999555392000046
bv_n14,24.799999999999997,12.0,31.0,28.0,0.14360505399999968,0.2748678228000244
ising_n10,0.0,0.0,42.0,42.0,0.39562718519998724,7.751505128199983
qaoa_n6,17.199999999999996,16.999999999999986,96.2,81.0,0.32259495079995304,2.7307516703999912
qpe_n9,38.2,19.000000000000007,107.59999999999998,101.0,0.266254641799992,0.888789628599966
simon_n6,10.000000000000002,8.0,35.8,37.0,0.09238701399999627,0.2006084206000196
