,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_BSP CNOTs,MPATH_BSP Depth,MPATH_BSP Time
SK_4_1 (grid_search_30_30),6,29,0.011256028000000029,6,25,0.029354660000000088,6,25,0.014611975000000221
SK_4_1 (grid_search_60_60),6,27,0.005998695000000165,12,31,0.019377695999999833,6,27,0.005843001999999764
SK_5_1 (grid_search_30_30),15,37,0.012163788000000064,18,39,0.10388187700000007,15,37,0.09304311200000015
SK_5_1 (grid_search_60_60),12,40,0.009701478000000208,12,36,0.02612516200000048,12,36,0.022745510000000024
SK_6_1 (grid_search_30_30),24,65,0.015177259000000554,33,60,0.19032850099999976,18,63,0.022881906000000285
SK_6_1 (grid_search_60_60),15,57,0.012852676999999701,42,69,0.20996417599999972,18,62,0.022517601999999748
SK_7_1 (grid_search_30_30),30,71,0.0226199350000007,42,76,0.40067883199999965,27,68,0.08296910700000026
SK_7_1 (grid_search_60_60),24,65,0.01742415499999872,33,60,0.15403931600000043,24,69,0.09057125499999863
SK_8_1 (grid_search_30_30),39,87,0.03301752800000024,72,94,0.8381445749999994,42,88,0.7351200710000008
SK_8_1 (grid_search_60_60),39,100,0.02718122099999931,69,109,1.8018898499999985,36,85,0.338820290000001
SK_9_1 (grid_search_30_30),66,99,0.04527496400000075,90,119,1.792041311000002,63,96,1.2816489430000004
SK_9_1 (grid_search_60_60),45,103,0.037429902999996045,78,103,4.022776487000002,42,111,0.9759278140000021
SK_10_1 (grid_search_30_30),78,135,0.05379968899998744,102,126,2.2389713839999956,75,128,2.150754317999997
SK_10_1 (grid_search_60_60),60,126,0.046167679000006956,90,116,11.999918254000008,63,127,1.4858959360000057
SK_11_1 (grid_search_30_30),81,172,0.06276649600002315,129,140,15.139676707000007,78,159,2.6656277790000047
SK_11_1 (grid_search_60_60),90,163,0.0708355010000048,135,134,12.634075673999973,90,156,2.8258047269999906
SK_12_1 (grid_search_30_30),111,168,0.08372442899997168,180,185,11.406235295999977,108,175,4.408908132000022
SK_12_1 (grid_search_60_60),99,178,0.07944871700004796,162,182,12.869679093999991,102,169,3.47520745099996
SK_13_1 (grid_search_30_30),132,206,0.11159774699990521,204,195,20.302171972999986,135,210,5.333328980000033
SK_13_1 (grid_search_60_60),150,203,0.12385269000003518,234,233,9.44050331699998,150,194,5.558963471000084
SK_14_1 (grid_search_30_30),162,217,0.14261256300005698,222,200,51.410391844999936,159,214,6.703556042000059
SK_14_1 (grid_search_60_60),168,211,0.3475826419999066,228,223,28.42721128900007,165,246,7.324942740000097
SK_15_1 (grid_search_30_30),177,233,0.15716526699998212,258,230,46.573135181,186,263,9.34509957299997
SK_15_1 (grid_search_60_60),198,226,0.17126700399990114,285,253,29.885071598999957,204,233,8.578974361000064
SK_16_1 (grid_search_30_30),234,294,0.19345446900001662,297,244,54.63996416400005,231,260,11.156000529000039
SK_16_1 (grid_search_60_60),255,286,0.21335152999972706,378,296,38.30246817699981,234,297,10.564212833000056
SK_17_1 (grid_search_30_30),255,321,0.20986121000032654,405,310,69.92398278300016,267,315,12.865755536000052
SK_17_1 (grid_search_60_60),276,291,0.2281555960003061,378,289,67.52770738700019,273,265,15.814502786000048
SK_18_1 (grid_search_30_30),309,279,0.39132978599991475,444,343,114.73939819000043,291,274,17.304051203999734
SK_18_1 (grid_search_60_60),297,309,0.3704922219994842,399,304,109.11646340799962,288,321,20.536349965000227
