,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
xor5_254.qasm,5,3,8,0.07366265799999994,0,9,11,0.058280266000000136,0,0,3,8,0.006540800999999874,0,3,8,0.07331113600000005,0,16
4_49_16.qasm,99,57,192,0.12057516600000007,0,51,174,0.09737844100000004,0,0,30,151,0.3597336459999996,0,55,184,0.6463353310000013,0,16
sys6-v0_111.qasm,98,84,152,0.05121023399999913,0,78,145,0.10444503500000124,0,0,69,134,3.1725945139999965,0,132,207,0.9397941220000021,0,16
rd53_130.qasm,448,372,1000,0.2540457230000044,0,339,869,0.397287053999996,0,0,264,802,4.246530111000013,0,638,1199,6.021668339000016,0,16
alu-v2_31.qasm,198,234,520,0.11875783700000397,0,144,388,0.22412468900000704,0,0,183,451,2.7933939140000064,0,154,392,1.698698864999983,0,16
4gt5_77.qasm,58,9,85,0.02341848899999377,0,42,121,0.08209458999999697,0,0,9,83,0.025826259000012897,0,43,130,0.35109285600000817,0,16
radd_250.qasm,1405,1476,3255,0.852564209999997,0,1257,2895,2.977539955999987,0,0,1020,2700,49.226248194999926,0,2053,3629,23.722115562,0,16
mod10_176.qasm,78,78,187,0.07660642100006498,0,84,180,0.165503494999939,0,0,66,173,0.08945975200003886,0,111,221,1.3043851109999878,0,16
C17_204.qasm,205,204,465,0.40140345399993294,0,129,384,0.45685618100003467,0,0,156,401,2.2501750469999706,0,190,444,3.286680830000023,0,16
0410184_169.qasm,104,33,127,0.08320912499993938,0,36,124,0.2219646029999467,0,0,30,126,0.9253955089999408,0,130,197,1.8464104120000684,0,16
con1_216.qasm,415,330,824,0.4035311760000013,0,294,784,0.6840752709999833,0,0,264,753,7.243668088999925,0,473,957,8.855274799999961,0,16
rd53_311.qasm,124,156,262,0.3559403839999504,0,132,242,0.2328635280000526,0,0,111,191,9.680124401000057,0,184,270,2.8308653569999933,0,16
4gt13_91.qasm,49,24,91,0.04161496900007933,0,6,66,0.1197855550000213,0,0,6,66,0.04944620499998109,0,6,66,0.21880892900003346,0,16
one-two-three-v0_98.qasm,65,69,157,0.0927708880000182,0,45,129,0.10917071100004705,0,0,69,157,0.5762601110000105,0,94,188,0.8274649699999372,0,16
4gt13_90.qasm,53,39,106,0.041550718999928904,0,9,73,0.1730647269999963,0,0,30,96,0.06932964999998603,0,25,91,0.33120085899997775,0,16
ex3_229.qasm,175,174,408,0.1521899570000187,0,135,337,0.26251843599993663,0,0,84,307,1.8057848429999694,0,223,467,2.7537152950000063,0,16
ham3_102.qasm,11,12,26,0.019712011000024177,0,3,15,0.08570430299994314,0,0,9,24,0.019330779000028997,0,7,22,0.14936656900010803,0,16
