,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
vqe_n8(3).qasm,5488,402,7554,0.948752571,354,7567,37.841989981,444,7667,2.3183748510000015,354,7554,0.09332461500000022,0
vqe_n8(1).qasm,5488,288,7423,0.8879399610000007,177,7336,22.481780884000017,249,7430,1.8252008480000086,231,7379,0.08835983799997393,0
vqe_n8(5).qasm,5488,315,7448,1.160887955000021,195,7329,19.373630159000015,438,7608,2.686374792000038,381,7575,0.09384009799998694,0
vqe_n8(0).qasm,5488,330,7483,1.1737942519999933,180,7336,21.382679564,333,7514,2.0621311250000645,231,7376,0.08908606900001814,0
vqe_n8(2).qasm,5488,225,7366,1.139229116000024,180,7336,23.92179598200005,336,7516,3.2899879770000098,177,7336,0.08737801600000239,0
vqe_n8(4).qasm,5488,207,7334,1.2070247699999754,522,7766,60.29325363099997,501,7686,4.1848950820000255,495,7633,0.0973735290000377,0
vqe_n5(2).qasm,352,6,532,0.07018597399996906,6,532,0.2994055160000926,6,532,0.07489790699992227,6,532,0.010779217999925095,0
vqe_n6(3).qasm,1052,27,1491,0.16903734599998188,27,1491,1.6394008170000234,36,1500,0.2648026869999285,24,1494,0.020742130000030556,0
vqe_n6(1).qasm,1052,30,1491,0.25288719600007425,27,1494,1.4034363480000138,30,1491,0.4056101719997969,30,1491,0.021714938000059192,0
vqe_n5(0).qasm,352,6,532,0.06111175199998797,6,532,0.3663131779999276,6,532,0.07841560099996059,6,532,0.011135897000031036,0
vqe_n4(4).qasm,88,0,145,0.016898237000077643,0,145,0.0177870410000196,0,145,0.018606999999974505,0,145,0.006649996000078318,0
vqe_n7(5).qasm,2576,189,3668,0.4557138870000017,384,3882,22.41817778299992,324,3797,0.9102413099999467,384,3900,0.0480578050000986,0
vqe_n7(1).qasm,2576,255,3698,0.6073653109999668,99,3553,7.207858786000088,153,3606,0.7602587559999847,87,3520,0.04702340200014987,0
vqe_n4(0).qasm,88,0,145,0.021523460000025807,0,145,0.01902061999999205,0,145,0.018940735000114728,0,145,0.006733746999998402,0
vqe_n5(4).qasm,352,6,532,0.06134522799993647,6,532,0.34887293900010263,6,532,0.07779056900017167,6,532,0.010663249000117503,0
vqe_n6(5).qasm,1052,30,1497,0.1739862639999501,27,1491,1.4906748349999361,42,1517,0.26289905299995553,30,1491,0.02198831999999129,0
vqe_n4(2).qasm,88,0,145,0.018930451999949582,0,145,0.018291864000048008,0,145,0.018415430000004562,0,145,0.006544867000002341,0
vqe_n7(3).qasm,2576,141,3601,0.5729020779999701,351,3827,18.24807561800003,183,3653,1.752444018999995,207,3689,0.043978521000099136,0
vqe_n6(0).qasm,1052,30,1491,0.17716769199978444,27,1494,1.5179287480000312,30,1491,0.25870038400012163,30,1491,0.021976451000000452,0
vqe_n5(1).qasm,352,6,532,0.06338501799996266,6,532,0.30684735800014096,6,532,0.07378915300000699,6,532,0.011120060000166632,0
vqe_n4(5).qasm,88,0,145,0.016507963999856656,0,145,0.01764682999987599,0,145,0.016889058000060686,0,145,0.00643418799995743,0
vqe_n7(4).qasm,2576,219,3668,0.46036372499997924,84,3546,7.002947999999833,225,3723,1.17563296000003,207,3719,0.04736771900002168,0
vqe_n5(3).qasm,352,6,532,0.06161464899992097,6,532,0.3612760729999991,6,532,0.07334135100018102,6,532,0.012212059999910707,0
vqe_n6(2).qasm,1052,33,1503,0.25579670699994494,30,1506,1.6545321979999699,51,1528,0.28005588599990006,30,1503,0.022182424999982686,0
vqe_n4(3).qasm,88,0,145,0.01811383999984173,0,145,0.01862377999987075,0,145,0.01863290300002518,0,145,0.006956767000019681,0
vqe_n7(2).qasm,2576,153,3593,0.5871157340000082,75,3542,4.467051406999872,99,3566,0.6955371210001431,78,3542,0.04169846900003904,0
vqe_n7(0).qasm,2576,78,3527,0.5582473839999693,72,3545,4.277192791000061,147,3596,0.740724906999958,120,3590,0.04472585899998194,0
vqe_n4(1).qasm,88,0,145,0.023368398000002344,0,145,0.020627066999850285,0,145,0.01834002700002202,0,145,0.008737897000173689,0
vqe_n5(5).qasm,352,6,532,0.060343542000055095,6,532,0.2937220089997936,6,532,0.13258427400000983,6,532,0.010988117000124475,0
vqe_n6(4).qasm,1052,30,1497,0.17082519699988552,27,1491,1.6139219620001768,33,1497,0.26025684700016427,30,1491,0.021617368999841347,0
